v,phase,coverage,total_time,count,uncovered_stops,reason_for_switch,delta_time,delta_coverage,improvement_found,pheromone_mean,pheromone_min,pheromone_max
1,ACSVehicle,96.0,20546.881000203073,5,1,coverage<99.9,,,,0.9096185737976783,0.9,1.1
2,ACSVehicle,96.0,23456.02788498026,6,1,coverage<99.9,,,,0.8269485903814262,0.81,1.1566666666666667
3,ACSVehicle,96.0,24176.85559052678,6,1,coverage<99.9,,,,0.7525456053067995,0.7290000000000001,1.2076666666666669
4,ACSVehicle,96.0,18836.504767320068,5,1,coverage<99.9,,,,0.6869096185737978,0.6561000000000001,1.2869000000000002
5,ACSVehicle,96.0,24352.123200830665,5,1,coverage<99.9,,,,0.6278372305140963,0.5904900000000002,1.3582100000000001
6,ACSVehicle,100.0,26141.549551594944,7,0,coverage>=99.9,,,,0.5726346493721869,0.5314410000000002,1.365246142857143
6,ACSTime,96.0,18698.240263722575,6,1,ACSTime phase,-7443.309287872369,-4.0,True,0.530486086117034,0.47829690000000014,1.5239596238095239
7,ACSVehicle,96.0,21366.874934072825,6,1,coverage<99.9,,,,0.4931920380360106,0.43046721000000016,1.6882303280952384
8,ACSVehicle,96.0,18134.474431905346,5,1,coverage<99.9,,,,0.4534914080300878,0.38742048900000015,1.7194072952857147
